Company Name,Industry,Symbol,Series,ISIN Code
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NCC Ltd.,Construction,NCC,EQ,INE868B01028
NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,INE0NNS01018
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014
Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023
Raymond Ltd.,Realty,RAYMOND,EQ,INE301A01014
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011
Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,EQ,INE00M201021
Swan Energy Ltd.,Diversified,SWANENERGY,EQ,INE665A01038
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ,INE615H01020
Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018
Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
